date_text,date,week ending friday,week ending thursday,week ending wednesday,week ending tuesday,week ending monday,week ending sunday,week ending saturday
"Sunday, 5 July 2020",2020-07-05,2020-07-10,2020-07-09,2020-07-08,2020-07-07,2020-07-06,2020-07-05,2020-07-11
"Monday, 6 July 2020",2020-07-06,2020-07-10,2020-07-09,2020-07-08,2020-07-07,2020-07-06,2020-07-12,2020-07-11
"Tuesday, 7 July 2020",2020-07-07,2020-07-10,2020-07-09,2020-07-08,2020-07-07,2020-07-13,2020-07-12,2020-07-11
"Wednesday, 8 July 2020",2020-07-08,2020-07-10,2020-07-09,2020-07-08,2020-07-14,2020-07-13,2020-07-12,2020-07-11
"Thursday, 9 July 2020",2020-07-09,2020-07-10,2020-07-09,2020-07-15,2020-07-14,2020-07-13,2020-07-12,2020-07-11
"Friday, 10 July 2020",2020-07-10,2020-07-10,2020-07-16,2020-07-15,2020-07-14,2020-07-13,2020-07-12,2020-07-11
"Saturday, 11 July 2020",2020-07-11,2020-07-17,2020-07-16,2020-07-15,2020-07-14,2020-07-13,2020-07-12,2020-07-11
"Sunday, 12 July 2020",2020-07-12,2020-07-17,2020-07-16,2020-07-15,2020-07-14,2020-07-13,2020-07-12,2020-07-18
"Monday, 13 July 2020",2020-07-13,2020-07-17,2020-07-16,2020-07-15,2020-07-14,2020-07-13,2020-07-19,2020-07-18
"Tuesday, 14 July 2020",2020-07-14,2020-07-17,2020-07-16,2020-07-15,2020-07-14,2020-07-20,2020-07-19,2020-07-18
"Wednesday, 15 July 2020",2020-07-15,2020-07-17,2020-07-16,2020-07-15,2020-07-21,2020-07-20,2020-07-19,2020-07-18
"Thursday, 16 July 2020",2020-07-16,2020-07-17,2020-07-16,2020-07-22,2020-07-21,2020-07-20,2020-07-19,2020-07-18
"Friday, 17 July 2020",2020-07-17,2020-07-17,2020-07-23,2020-07-22,2020-07-21,2020-07-20,2020-07-19,2020-07-18
"Saturday, 18 July 2020",2020-07-18,2020-07-24,2020-07-23,2020-07-22,2020-07-21,2020-07-20,2020-07-19,2020-07-18
"Sunday, 19 July 2020",2020-07-19,2020-07-24,2020-07-23,2020-07-22,2020-07-21,2020-07-20,2020-07-19,2020-07-25
"Monday, 20 July 2020",2020-07-20,2020-07-24,2020-07-23,2020-07-22,2020-07-21,2020-07-20,2020-07-26,2020-07-25
"Tuesday, 21 July 2020",2020-07-21,2020-07-24,2020-07-23,2020-07-22,2020-07-21,2020-07-27,2020-07-26,2020-07-25
"Wednesday, 22 July 2020",2020-07-22,2020-07-24,2020-07-23,2020-07-22,2020-07-28,2020-07-27,2020-07-26,2020-07-25
"Thursday, 23 July 2020",2020-07-23,2020-07-24,2020-07-23,2020-07-29,2020-07-28,2020-07-27,2020-07-26,2020-07-25
"Friday, 24 July 2020",2020-07-24,2020-07-24,2020-07-30,2020-07-29,2020-07-28,2020-07-27,2020-07-26,2020-07-25
"Saturday, 25 July 2020",2020-07-25,2020-07-31,2020-07-30,2020-07-29,2020-07-28,2020-07-27,2020-07-26,2020-07-25
"Sunday, 26 July 2020",2020-07-26,2020-07-31,2020-07-30,2020-07-29,2020-07-28,2020-07-27,2020-07-26,2020-08-01
