marked “Rejected” (cancellations under regulations 77, 78,78A and 86A are not rejections and should be included in items 2, 3, 5, 8, 9 and 10 above)",1) How many proxies were appointed for these elections?,2) How many emergency proxies were appointed for these elections?,3) How many waivers were granted for these elections?,a) Want of a signature,b) Want of a date of birth,c) Want of both,d) Mismatched signature,e) Mismatched DoB,f) Both mismatched,g) Ballot paper unreturned ,h) Postal voting statement unreturned ,5) What was the total number of polling stations used?,6) How many covering envelopes were returned on polling day before 10pm?,7) How many covering envelopes were returned on the day after polling day before 10pm?,15) How many people tried to vote on polling day and were found not to be registered?,17) What was your issue date for postal votes sent overseas?,18) What was your delivery date for postal votes sent to electors in the UK?,19) How many covering envelopes were returned  via the final Royal Mail sweep on polling day in time to be counted?,21) a) At what time did verification begin?,22) b) At what time did verification end?,23) a) At what time did counting the votes on the ballot papers begin?,23) b) At what time did counting the votes on the ballot papers end?,24) Was the count suspended?,25) How many recounts did you hold? ,26) a) How many people were in a queue by 10pm and were waiting to vote at a polling station at the close of poll?,26) b) How many people joined a queue after 10pm and were waiting to vote at a polling station at the close of poll?
E14000565,62,"Birmingham, Northfield","72,322","44,348",61.3%,"44,499",61.5%,"44,682",61.8%,0,41,3,107,0,151,"9,001",4,0,"9,005",0,"7,436",14,0,4,0,0,36,"1,515","9,005","7,436",46,130,"7,253",190,257,6,29,10,2,34,41,64,25,6,7,48,608,6, ,19/05/17,22/05/17,96,22:45:00,02:05:00,01:05:00,02:45:00,No ,0,0,0
E14000566,63,"Birmingham, Perry Barr","70,106","44,197",63.0%,"44,361",63.3%,"44,558",63.6%,0,91,2,71,0,164,"6,247",16,0,"6,263",1,"4,857",16,6,9,0,0,44,"1,331","6,263","4,857",42,147,"4,660",205,112,4,36,15,3,24,61,56,30,8,8,44,723,11, ,19/05/17,22/05/17,104,22:45:00,02:10:00,01:00:00,03:45:00,No ,0,0,0
E14000567,64,"Birmingham, Selly Oak","74,370","48,985",65.9%,"49,123",66.1%,"49,322",66.3%,0,41,1,96,0,138,"7,806",13,0,"7,819",2,"6,418",27,4,7,0,0,35,"1,328","7,819","6,418",49,143,"6,219",205,368,18,23,20,3,26,43,65,35,7,6,52,935,19, ,19/05/17,22/05/17,93,22:30:00,01:45:00,00:10:00,03:25:00,No ,0,0,0
E14000568,65,"Birmingham, Yardley","72,581","44,464",61.3%,"44,605",61.5%,"44,800",61.7%,0,28,0,113,0,141,"7,775",10,0,"7,785",1,"6,245",17,1,8,0,0,35,"1,479","7,785","6,245",54,134,"6,050",207,138,2,31,11,2,41,50,55,29,7,12,43,579,11, ,19/05/17,22/05/17,11,22:45:00,03:05:00,00:10:00,02:45:00,No ,0,0,0
E14000569,66,Bishop Auckland,"67,661","43,281",64.0%,"43,359",64.1%,"43,567",64.4%,0,18,11,49,0,78,"13,197",40,0,"13,237",19,"11,329",16,20,1,0,0,17,"1,854","13,237","11,329",94,91,"11,121",208,238,3,71,28,4,62,11,47,33,0,0,89,755,7,116,18/05/17,22/05/17,28,22:00:00,00:30:00,00:30:00,03:00:00,No,0,0,0
E14000570,67,Blackburn,"70,664","47,515",67.2%,"47,702",67.5%,"48,416",68.5%,0,75,1,111,0,187,"15,152",116,0,"15,268",61,"13,003",34,0,55,0,0,39,"2,081","15,212","13,003",51,556,"12,289",714,218,23,105,26,8,17,295,188,73,23,81,61,"1,909",5, ,17/05/17,26/05/17,204,22:00:00,00:15:00,00:20:00,02:05:00,No,0,0,0
E14000571,68,Blackley and Broughton,"71,644","40,113",56.0%,"40,214",56.1%,"40,793",56.9%,3,40,10,48,0,101,"13,925",56,70,"14,051",18,"10,554",49,1,37,0,0,53,"3,357","14,051","10,554",54,525,"9,975",579,92,15,93,29,4,21,281,209,36,0,0,57,"1,598",17,51,17/05/17,26/05/17,158,22:00:00,01:30:00,01:35:00,03:15:00,No,0,0,0
E14000572,69,Blackpool North and Cleveleys,"63,967","41,007",64.1%,"41,066",64.2%,"41,467",64.8%,0,15,2,42,0,59,"17,225",37,0,"17,262",3,"14,531",33,0,37,0,0,64,"2,597","17,262","14,531",13,103,"14,130",190,164,9,43,2,5,6,20,49,44,22,16,49,"1,089",14,21,17/05/17,30/05/17,116,22:00:00,23:25:00,23:46:00,02:22:00,No,0,0,0
E14000573,70,Blackpool South,"58,470","34,953",59.8%,"34,997",59.9%,"35,734",61.1%,0,10,0,34,0,44,"14,256",52,0,"14,308",8,"12,202",26,0,52,0,0,59,"1,969","14,308","12,202",15,137,"11,465",192,228,5,66,3,6,6,27,55,55,14,24,48,984,13,27,17/05/17,30/05/17,111,22:00:00,23:25:00,23:46:00,02:42:00,No,0,0,0
W07000072,71,Blaenau Gwent,"51,176","32,384",63.3%,"32,419",63.3%,"32,601",63.7%,0,9,1,25,0,35,"9,808",72,0,"9,880",55,"8,335",11,2,27,0,0,29,"1,476","9,880","8,335",59,56,"8,153",182,67,2,93,14,19,26,9,46,1,22,45,72,637,2, ,22/05/17,22/05/17,49,22:00:00,23:55:00,23:55:00,01:40:00,No ,0,0,0
E14000574,72,Blaydon,"68,459","48,084",70.2%,"48,148",70.3%,"48,538",70.9%,0,20,1,43,0,64,"23,611",87,0,"23,698",29,"20,557",22,12,46,0,0,30,"3,031","23,698","20,557",120,208,"20,167",355,297,5,112,34,14,72,77,91,40,1,26,47,"1,954",19,0,18/05/17,22/05/17,80,22:00:00,00:00:00,00:15:00,01:58:00,No,0,0,0
E14000575,73,Blyth Valley,"63,428","42,490",67.0%,"42,560",67.1%,"42,912",67.7%,0,10,2,58,0,70,"19,171",104,0,"19,275",60,"16,688",16,11,44,14,0,16,"2,486","19,275","16,688",130,143,"16,336",352,233,0,99,40,26,64,60,63,20,25,32,30,"1,003", , ,11/05/17,22/05/17,52,22:30:00,01:20:00,01:20:00,04:10:00,No,0,0,0
E14000576,74,Bognor Regis and Littlehampton,"75,827","51,353",67.7%,"51,451",67.9%,"51,537",68.0%,0,27,9,62,0,98,"11,474",138,115,"11,727",162,"9,861",38,2,21,164,0,22,"1,619","11,727","9,850",0,75,"9,775",86,437,10,297,5,7,2,27,30,4,6,5,51,573,25,4,15/05/17,22/05/17,19,22:15:00,00:05:00,01:15:00,03:15:00,No,0,0,0
E14000577,75,Bolsover,"73,426","46,519",63.4%,"46,626",63.5%,"46,910",63.9%,0,17,0,90,0,107,"10,250",33,0,"10,283",21,"8,569",32,7,5,0,0,27,"1,927","10,567","8,569",22,54,"8,285",101,241,3,72,9,4,9,2,30,22,19,7,76,641,8,23,15/05/17,23/05/17,26,22:00:00,00:03:00,00:30:00,03:45:00,No,0,0,0
E14000578,76,Bolton North East,"67,233","45,183",67.2%,"45,273",67.3%,"45,455",67.6%,0,31,2,57,0,90,"15,544",73,0,"15,617",0,"13,201",33,26,47,0,0,21,"2,289","15,617","13,201",99,83,"13,019",182,254,5,208,31,4,29,35,4,44,16,19,49,620,21,5,17/05/17,26/05/17,68,22:00:00,23:55:00,00:00:00,02:30:00,No,0,0,0
E14000579,77,Bolton South East,"68,886","42,323",61.4%,"42,420",61.6%,"42,579",61.8%,0,25,1,71,0,97,"12,844",59,0,"12,903",0,"10,486",33,28,31,0,0,20,"2,305","12,903","10,486",76,83,"10,327",159,173,4,234,29,4,20,33,8,42,13,10,50,561,26,9,17/05/17,26/05/17,42,22:00:00,00:15:00,00:25:00,02:50:00,No,0,0,0
E14000580,78,Bolton West,"72,797","51,054",70.1%,"51,135",70.2%,"51,263",70.4%,23,14,0,44,0,81,"15,995",67,0,"16,062",0,"13,721",32,19,48,0,0,24,"2,758","16,602","13,721",63,65,"13,593",128,379,7,127,17,2,24,27,7,31,9,11,54,462,17,5,17/05/17,26/05/17,53,22:00:00,00:40:00,00:50:00,03:20:00,No,0,0,0
E14000581,79,Bootle,"72,872","50,288",69.0%,"50,451",69.2%,"50,623",69.5%,0,43,3,117,0,163,"9,991",84,0,"10,075",17,"8,009",19,8,59,0,0,203,"1,777","10,075","8,009",5,321,"7,837",324,305,10,46,5,0,0,129,152,40,11,0,48,907,1, ,17/05/17,26/05/17, ,22:00:00,00:30:00,00:45:00,01:55:00,No,0,0,0
E14000582,80,Boston and Skegness,"68,402","42,879",62.7%,"42,941",62.8%,"43,344",63.4%,0,11,3,48,0,62,"12,468",10,0,"12,478",0,"10,300",17,9,1,0,0,43,"2,108","12,478","10,300",24,136,"9,897",362,183,2,98,22,2,0,61,39,36,19,183,69,446,17, ,15/05/17,23/05/17,27,22:00:00,00:30:00,00:45:00,03:15:00,No ,0,0,0
E14000583,81,Bosworth,"80,623","56,168",69.7%,"56,323",69.9%,"56,613",70.2%,0,25,3,127,0,155,"15,095",56,0,"15,151",31,"12,871",0,4,21,0,0,26,"2,229","15,151","12,871",66,224,"12,581",290,491,14,117,37,3,26,119,87,18,0,0,59,"1,224",0,13,17/05/17,19/05/17,35,22:10:00,23:30:00,23:30:00,02:15:00,No,0,0,0
E14000584,82,Bournemouth East,"74,591","48,618",65.2%,"48,733",65.3%,"48,992",65.7%,1,29,0,85,0,115,"10,793",45,0,"10,838",25,"8,948",26,3,42,0,0,62,"1,757","10,838","8,948",20,84,"8,689",259,503,13,61,12,3,5,12,58,14,5,150,39,656,8,4,15/05/17,24/05/17,38,22:19:00,00:40:00,00:20:00,03:28:00,No,0,0,0
E14000585,83,Bournemouth West,"73,195","44,507",60.8%,"44,654",61.0%,"44,888",61.3%,0,32,3,112,0,147,"10,304",35,0,"10,339",20,"8,547",18,3,32,0,0,55,"1,684","10,339","8,547",18,99,"8,313",234,407,18,47,10,6,2,18,64,17,4,113,45,522,10,2,15/05/17,24/05/17,32,22:20:00,00:17:00,00:20:00,03:09:00,No,0,0,0
E14000586,84,Bracknell,"79,199","55,892",70.6%,"56,038",70.8%,"56,105",70.8%,0,11,0,135,0,146,"14,161",62,0,"14,223",113,"12,142",56,68,0,0,0,0,"1,957","14,223","12,142",13,54,"12,075",22,341,11,53,13,0,13,9,45,33,68,8,54,"1,861",30,5,17/05/17,19/05/17,78,22:00:00,23:45:00,00:00:00,01:45:00,No,0,0,0
E14000587,85,Bradford East,"70,389","45,622",64.8%,"45,700",64.9%,"46,039",65.4%,1,41,2,34,0,78,"12,006",20,0,"12,026",123,"10,398",72,1,19,0,0,27,"1,509","12,026","10,398",79,223,"10,059",344,62,9,91,21,25,32,89,83,51,3,21,48,"1,036",0, ,18/05/17,22/05/17,70,22:05:00,02:00:00,01:00:00,03:30:00,No,0,0,0
E14000588,86,Bradford South,"67,752","41,048",60.6%,"41,110",60.7%,"41,382",61.1%,0,19,0,43,0,62,"9,929",24,0,"9,953",88,"8,484",38,6,18,0,0,49,"1,358","8,484","8,484",70,128,"8,212",233,82,10,74,10,21,31,42,49,26,0,17,48,679,3, ,18/05/17,22/05/17,70,22:05:00,01:05:00,00:55:00,02:55:00,No,0,0,0
E14000589,87,Bradford West,"67,758","45,528",67.2%,"45,749",67.5%,"46,154",68.1%,0,161,7,53,0,221,"11,351",25,0,"11,376",88,"9,501",61,1,21,0,0,37,"1,755","11,376","9,501",59,310,"9,096",435,62,7,129,21,14,24,167,81,61,4,26,46,"1,370",1, ,18/05/17,22/05/17,110,22:00:00,01:10:00,01:25:00,03:40:00,No,0,0,0
E14000590,88,Braintree,"75,316","52,326",69.5%,"52,400",69.6%,"52,510",69.7%,0,11,0,63,0,74,"13,019",60,0,"13,079",16,"11,147",32,1,43,0,0,40,"1,816","13,079","11,147",3,107,"11,037",0,443,15,86,1,1,1,45,52,10,0,0,78,938, , ,18/05/17,22/05/17,28,22:00:00,00:30:00,00:45:00,03:00:00,No,0,0,0
W07000068,89,Brecon and Radnorshire 5,"56,010","41,334",73.8%,"41,397",73.9%,"41,581",74.2%,0,12,5,46,0,63,"10,201",13,0,"10,214",43,"8,984",37,0,13,0,0,32,"1,148","10,214","8,984",42,124,"8,800",183,434,11,32,8,24,7,66,52,9,24,20,93,632,30, ,23/05/17,24/05/17,0,22:05:00,01:10:00,01:15:00,02:45:00,No,0,0,0
E14000591,90,Brent Central,"80,499","52,325",65.0%,"52,524",65.2%,"52,810",65.6%,9,89,4,97,0,199,"9,146",38,0,"9,184",12,"7,397",43,2,36,0,0,59,"1,647","9,184","7,407",17,221,"7,111",296,403,22,37,11,2,4,117,2,82,15,6,64,659,1, ,19/05/17,19/05/17, ,22:00:00,01:30:00, ,03:49:00,No,0,0,0
E14000592,91,Brent North,"82,567","56,451",68.4%,"56,654",68.6%,"56,984",69.0%,0,109,2,92,0,203,"11,612",58,0,"11,670",18,"9,503",42,4,54,0,0,43,"2,024","11,670","9,503",18,238,"9,173",330,321,22,81,8,2,8,135,77,26,16,14,57,742,1, ,19/05/17,19/05/17, ,22:00:00,01:35:00, ,04:03:00,No,0,0,0
E14000593,92,Brentford and Isleworth,"85,164","61,629",72.4%,"61,785",72.5%,"62,048",72.9%,0,22,0,134,0,156,"14,398",69,0,"14,467",275,"12,176",115,7,62,0,0,102,"1,936","14,398","12,176",50,222,"11,913",301,722,26,30,7,38,5,84,114,24,15,14,57,"1,466",50,23,17/05/17,20/05/17, ,22:00:00,00:44:00,00:45:00,03:31:00,No,0,0,1
E14000594,93,Brentwood and Ongar,"75,067","52,910",70.5%,"53,017",70.6%,"53,452",71.2%,0,23,0,84,0,107,"10,838",46,0,"10,884",0,"9,262",120,30,16,0,0,25,"1,431","10,884","9,262",183,193,"8,827",376,456,5,68,19,3,161,91,89,13,8,51,68,320,713,0,19/05/17,19/05/17,47,22:00:00,00:50:00,00:51:00,02:00:00,No ,0,0,0
W07000073,94,Bridgend,"62,185","43,310",69.6%,"43,365",69.7%,"43,415",69.8%,0,19,0,36,0,55,"12,442",23,0,"12,465",25,"10,622",58,0,23,0,0,28,"1,734","12,465","10,622",25,16,"10,572",50,283,12,43,4,1,11,5,17,3,0,9,35,"1,023",12,11,15/05/17,23/05/17,36,22:10:00,00:15:00,00:30:00,02:20:00,No,0,0,0
E14000595,95,Bridgwater and West Somerset,"83,913","58,247",69.4%,"58,377",69.6%,"58,625",69.9%,0,25,1,104,0,130,"13,040",45,0,"13,085",56,"11,422",63,0,12,0,0,25,"1,563","13,085","11,400",87,139,"11,174",248,488,24,64,65,9,13,64,71,4,15,7,105,"1,163",22,15,18/05/17,23/05/17,57,22:00:00,01:15:00,01:03:00,04:00:00,No,0,0,0
E14000596,96,Brigg and Goole,"66,069","45,057",68.2%,"45,117",68.3%,"45,234",68.5%,0,17,0,43,0,60,"13,494",65,0,"13,559",55,"11,494",57,4,61,0,0,30,"1,913","13,559","11,494",78,39,"11,377",117,250,41,32,8,9,3,26,5,8,18,40,76,698,39,19,15/05/17,24/05/17,19,22:01:00,01:30:00,01:50:00,04:00:00,No,0,0,0
E14000597,97,"Brighton, Kemptown","67,893","49,207",72.5%,"49,361",72.7%,"49,596",73.1%,0,21,1,132,0,154,"13,541",82,0,"13,623",39,"11,500",87,1,42,0,0,137,"1,856","13,623","11,500",55,163,"11,265",0,588,38,152,34,1,20,54,87,22,7,10,48,943,17,17,17/05/17,22/05/17,72,22:00:00,01:55:00,02:00:00,05:25:00,No,0,0,0
E14000598,98,"Brighton, Pavilion","75,486","57,687",76.4%,"57,841",76.6%,"58,071",76.9%,0,18,3,133,0,154,"13,345",149,0,"13,494",95,"11,595",62,1,53,0,0,130,"1,653","13,494","11,595",47,166,"11,365",230,"1,209",16,65,24,3,20,52,94,20,5,12,47,"1,294",22,19,17/05/17,22/05/17,72,22:00:00,01:55:00,02:00:00,05:25:00,No,0,0,0
E14000599,99,Bristol East,"72,415","50,799",70.1%,"50,932",70.3%,"51,118",70.6%,1,32,3,97,0,133,"12,742",92,0,"12,834",39,"10,664",52,0,53,0,1,25,"2,039","12,834","10,664",29,80,"10,478",186,511,18,46,5,11,13,31,38,11,42,35,56,777, , ,16/05/17,19/05/17,68,22:00:00,00:25:00,23:45:00,02:15:00,No,0,0,0
E14000600,100,Bristol North West,"75,434","54,093",71.7%,"54,225",71.9%,"54,482",72.2%,0,31,3,98,0,132,"15,733",130,0,"15,863",71,"13,644",36,1,58,0,0,62,"2,062","15,863","13,644",39,94,"13,387",257,603,16,48,10,13,16,32,52,10,73,51,53,941, , ,16/05/17,19/05/17,320,22:00:00,00:25:00,23:55:00,02:36:00,No,0,0,0
E14000601,101,Bristol South,"83,012","54,393",65.5%,"54,505",65.7%,"54,706",65.9%,0,34,5,73,0,112,"13,598",91,0,"13,689",38,"11,610",23,0,53,0,0,60,"1,943","13,689","11,610",29,91,"11,409",201,617,21,35,7,10,12,42,32,17,33,48,57,"1,191", , ,16/05/17,19/05/17,90,22:00:00,00:10:00,23:55:00,02:35:00,No,0,0,0
E14000602,102,Bristol West,"93,003","71,615",77.0%,"71,789",77.2%,"72,029",77.4%,0,64,6,104,0,174,"14,742",273,0,"15,015",151,"12,753",74,0,122,0,0,47,"2,019","15,015","12,705",33,104,"12,513",192,"1,849",0,20,14,13,6,49,41,14,0,55,67,"1,213", ,0,16/05/17,19/05/17,160,22:00:00,00:35:00,23:45:00,02:34:00,No,0,0,0
E14000603,103,Broadland,"77,334","55,971",72.4%,"56,075",72.5%,"56,188",72.7%,0,18,1,85,0,104,"12,656",2,0,"12,658",101,"10,805",35,2,22,2,0,27,"1,765","12,658","10,799",40,52,"10,692",113,593,17,209,9,17,14,13,37,1,15,6,84,649,35,12,19/05/17,20/05/17,33,22:15:00,02:30:00,03:00:00,04:35:00,No,0,0,0
E14000604,104,Bromley and Chislehurst,"65,117","46,662",71.7%,"46,781",71.8%,"46,960",72.1%,32,15,1,71,0,119,"11,288",78,0,"11,366",32,"9,689",47,0,46,0,0,24,"1,560","11,366","9,689",84,70,"9,510",179,503,9,77,33,28,23,26,38,6,18,7,52,"1,404",18,34,17/05/17,24/05/17,50,22:00:00,01:00:00,01:05:00,04:00:00,No,0,0,0
E14000605,105,Bromsgrove,"73,337","52,253",71.3%,"52,426",71.5%,"52,667",71.8%,4,25,3,141,0,173,"12,613",74,0,"12,687",26,"10,956",33,0,48,0,0,2,"1,648","12,687","10,956",136,51,"10,715",187,390,20,122,16,74,46,8,37,6,0,0,60,630,14, ,17/05/17,17/05/17,24,22:00:00,01:00:00,01:00:00,02:35:00,No,0,0,0
E14000606,106,Broxbourne,"73,502","47,485",64.6%,"47,587",64.7%,"47,734",64.9%,0,21,0,81,0,102,"13,819",48,0,"13,867",14,"11,497",27,8,40,0,0,28,"2,267","13,867","11,497",103,44,"11,350",147,316,10,43,8,14,53,25,16,3,2,26,41,757,5,43,18/05/17,18/05/17,43,22:00:00,23:30:00,23:30:00,00:30:00,No,0,0,0
E14000607,107,Broxtowe,"74,013","55,508",75.0%,"55,628",75.2%,"55,786",75.4%,1,25,2,92,0,120,"16,426",39,0,"16,465",46,"14,497",18,4,35,0,0,22,"1,889","16,465","14,482",21,137,"14,339",164,229,41,33,5,2,11,34,66,1,6,27,79,395,6,19,15/05/17,30/05/17,23,22:00:00,01:15:00,01:15:00,04:15:00,No,0,0,0
E14000608,108,Buckingham,"79,615","52,679",66.2%,"54,646",68.6%,"54,844",68.9%,0,217,5,"1,745",0,"1,967","13,204",72,2,"13,278",36,"10,801",41,0,36,2,0,29,"2,819","13,728","10,801",117,36,"10,603",198,428,9,29,18,40,59,19,11,6,6,39,107,484,13,36,19/05/17,22/05/17,24,22:30,01:45:00,01:15:00,04:15:00,No,0,0,0
E14000609,109,Burnley,"64,709","40,290",62.3%,"40,353",62.4%,"40,549",62.7%,0,18,0,45,0,63,"11,642",103,0,"11,745",40,"9,515",18,5,58,0,0,40,"2,074","11,710","9,515",76,99,"9,319",182,249,15,115,38,29,18,23,53,7,7,7,53,"1,105",12, ,17/05/17,24/05/17,117,22:30:00,23:50:00,00:15:00,01:45:00,No,0,0,0
E14000610,110,Burton,"73,960","49,911",67.5%,"50,054",67.7%,"50,313",68.0%,0,12,3,128,0,143,"17,144",32,0,"17,176",162,"14,858",55,0,32,40,0,21,"2,170","17,176","14,816",70,147,"14,599",258,445,20,17,35,7,28,9,119,19,39,2,74,"1,151",52,32,17/05/17,20/05/17,48,22:00:00,00:00:00,00:10:00,01:45:00,No,0,0,0
E14000611,111,Bury North,"67,580","47,903",70.9%,"48,059",71.1%,"47,990",71.0%,0,30,3,123,0,156,"16,332",133,0,"16,465",60,"13,639",48,2,71,73,0,48,"2,584","16,465","13,639",47,37,"13,708",84,380,83,60,18,4,25,10,8,19,11,6,62,"1,435",7,0,17/05/17,26/05/17,86,22:00:00,00:00:00,00:01:00,02:10:00,No,0,0,0
E14000612,112,Bury South,"73,715","50,990",69.2%,"51,113",69.3%,"51,017",69.2%,0,17,1,105,0,123,"16,671",140,0,"16,811",95,"13,614",42,1,44,45,0,37,"3,028","16,811","13,614",34,32,"13,710",66,384,90,69,28,6,34,11,6,15,7,13,63,"1,329",5,0,17/05/17,26/05/17,86,22:00:00,00:00:00,00:01:00,02:15:00,No,0,0,0
E14000613,113,Bury St Edmunds,"86,071","62,162",72.2%,"62,314",72.4%,"62,506",72.6%,0,30,1,121,0,152,"18,776",67,0,"18,843",39,"13,737",27,1,27,0,0,0,"5,051","18,843","13,737",13,85,"13,545",192,278,8,46,7,0,6,22,50,13,0,0,89,760, ,0,17/05/17,23/05/17,9,22:00:00,01:30:00,01:30:00,04:10:00,No,0,0,0
W07000076,114,Caerphilly,"64,381","41,297",64.1%,"41,380",64.3%,"41,632",64.7%,0,38,1,44,0,83,"11,722",35,0,"11,757",56,"9,688",26,0,32,0,0,35,"1,976","11,757","9,688",99,103,"9,436",206,239,12,107,7,72,20,25,75,3,4,0,68,354,16,2,19/05/17,23/05/17,48,22:00:00,00:15:00,00:16:00,02:30:00,No,0,0,0
S14000009,115,"Caithness, Sutherland and Easter Ross","47,558","34,186",71.9%,"34,231",72.0%,"34,337",72.2%,0,6,0,39,0,45,"9,541",12,0,"9,553",48,"7,784",16,0,12,0,0,20,"1,819","9,553","7,784",52,52,"7,678",104,317,7,87,16,2,42,8,54,2,3,9,71,360,10,0,20/05/17,23/05/17,31,22:00:00,03:00:00,00:30:00,04:40:00,No,0,0,0
E14000614,116,Calder Valley,"79,045","58,054",73.4%,"58,169",73.6%,"58,462",74.0%,0,18,4,93,0,115,"20,801",36,0,"20,837",138,"18,546",32,3,33,0,0,24,"2,199","20,837","18,546",69,178,"18,253",293,588,11,47,17,44,8,132,41,5,5,23,69,"1,371",32,10,18/05/17,24/05/17,160,22:00:00,03:15:00,01:30:00,04:15:00,No,0,0,0
E14000615,117,Camberwell and Peckham,"85,613","57,410",67.1%,"57,646",67.3%,"58,072",67.8%,5,70,3,158,0,236,"11,237",231,0,"11,468",49,"9,025",0,27,155,0,0,0,"2,221","11,428","9,025",50,199,"8,599",426,798,32,14,4,38,8,85,85,29,0,0,45,"1,021",25,20,19/05/17,26/05/17,21,22:00:00,00:30:00,00:35:00,04:20:00,No,0,0,0
E14000616,118,Camborne and Redruth,"68,419","48,501",70.9%,"48,594",71.0%,"48,730",71.2%,0,14,0,79,0,93,"12,955",37,0,"12,992",76,"11,128",35,1,31,5,0,44,"1,748","12,992","11,128",33,43,"10,992",76,439,14,112,19,10,4,5,26,11,4,4,59,638,18, ,22/05/17,23/05/17,84,22:00:00,03:00:00,00:30:00,04:15:00,No,0,0,0
E14000617,119,Cambridge,"78,528","55,934",71.2%,"56,069",71.4%,"56,244",71.6%,0,38,1,96,0,135,"13,218",28,0,"13,246",74,"10,994",139,2,26,0,0,99,"1,986","13,246","10,994",115,44,"10,819",175,"1,122",27,23,22,17,76,10,28,6,12,6,47,"11,456",57,21,19/05/17,01/06/17,7,22:15:00,23:50:00,23:25:00,02:45:00,No,0,0,0
E14000618,124,Cannock Chase,"74,540","47,872",64.2%,"47,950",64.3%,"48,293",64.8%,0,27,12,39,0,78,"12,607",55,0,"12,662",55,"10,765",37,0,0,0,0,19,"1,841","12,662","10,765",82,261,"10,422",0,287,7,58,42,23,38,20,82,56,25,57,77,843,32,13,17/05/17,23/05/17,17,22:30:00,00:15:00,00:15:00,02:00:00,No,0,0,0
E14000619,125,Canterbury,"78,182","56,803",72.7%,"56,981",72.9%,"57,168",73.1%,0,23,4,151,0,178,"11,344",95,0,"11,439",56,"10,012",10,0,39,0,0,31,"1,347","11,439","10,012",1,91,"9,825",150,711,177,147,0,1,0,29,53,9,11,47,63,851,10,55,19/05/17,28/05/17,33,22:00:00,00:03:00,00:30:00,03:30:00,No,1,0,0
W07000050,126,Cardiff Central,"59,287","40,367",68.1%,"40,447",68.2%,"40,589",68.5%,0,19,2,59,0,80,"10,086",72,0,"10,158",27,"8,629",41,0,45,0,0,38,"1,547","10,300","8,629",31,142,"8,487",0,346,1,57,10,12,9,79,36,27,0,9,47,494,20, ,19/05/17,19/05/17,51,22:00:00, , , ,No,0,0,0
W07000051,127,Cardiff North 5,"67,220","52,022",77.4%,"52,120",77.5%,"52,311",77.8%,0,21,0,77,0,98,"15,117",82,0,"15,199",41,"13,493",36,0,41,0,0,26,"1,794","15,390","13,493",4,191,"13,302",0,426,0,88,2,0,2,69,55,67,0,11,53,685,20, ,19/05/17,19/05/17,46,22:00:00,00:58:00,00:58:00,03:05:00,No,0,0,0
W07000080,128,Cardiff South and Penarth 5,"76,499","50,736",66.3%,"50,843",66.5%,"51,155",66.9%,0,29,2,76,0,107,"14,497",53,0,"14,550",17,"11,631",51,0,36,0,0,24,"2,808","14,550","11,631",2,310,"11,319",0,165,0,96,0,0,2,159,101,50,0,9,71,"1,201",25, ,19/05/17,19/05/17,60,22:00:00,01:10:00,01:10:00,03:10:00,No,0,0,0
W07000079,129,Cardiff West,"66,775","46,629",69.8%,"46,718",70.0%,"46,973",70.3%,0,23,0,66,0,89,"13,255",78,0,"13,333",32,"11,015",40,0,46,0,0,29,"2,203","13,333","11,015",3,255,"10,760",0,370,0,116,2,1,0,164,61,30,0,24,56,629,20, ,19/05/17,19/05/17,68,22:00:00, , , ,No,0,0,0
E14000620,130,Carlisle,"62,294","43,057",69.1%,"43,144",69.3%,"43,199",69.3%,0,22,3,62,0,87,"12,174",75,0,"12,249",38,"10,559",22,7,30,0,0,17,"1,547","12,182","10,559",0,62,"10,504",55,313,5,88,0,0,0,5,23,34,0,0,77,818,12, ,22/05/17,23/05/17,35,22:00:00,23:45:00,01:30:00,03:45:00,No,0,0,0
W07000067,131,Carmarthen East and Dinefwr,"56,711","41,029",72.3%,"41,074",72.4%,"41,401",73.0%,0,0,0,45,0,45,"14,376",32,0,"14,408",157,"12,114",72,1,31,8,2,24,"2,156","14,408","12,114",96,165,"11,787",327,312,12,105,45,14,37,67,84,14,20,46,96,"1,123",0,3,15/05/17,24/05/17,38,22:00:00,01:10:00,01:10:00,02:15:00,No,0,0,0
W07000066,132,Carmarthen West and South Pembrokeshire,"58,563","42,229",72.1%,"42,294",72.2%,"42,504",72.6%,0,14,7,44,0,65,"12,951",67,0,"13,018",29,"10,980",17,4,21,4,0,40,"1,952","13,018","10,980",49,125,"10,770",209,341,13,133,21,25,3,17,91,17,11,24,74,854,14,4,15/05/17,15/06/17,57,22:00:00,01:10:00,01:23:00,03:10:00,No,0,0,0
E14000621,133,Carshalton and Wallington,"70,849","50,753",71.6%,"50,850",71.8%,"50,969",71.9%,0,23,1,73,0,97,"12,020",57,0,"12,077",24,"10,630",47,0,33,0,0,10,"1,357","12,077","10,630",28,60,"10,511",119,452,15,43,3,21,4,3,45,11,19,14,49,"10,036",568,14,19/05/17,20/05/17,297,22:00:00,00:30:00,00:32:00,03:00:00,No,0,0,0
